PART_ID,Trial part,Complete Time
M20,Part_A_point_1,0.01697249999961059
M20,Part_A_point_2,0.34989369999948394
M20,Part_A_point_3,0.9159632999999303
M20,Part_A_point_4,1.5494481999994605
M20,Part_A_point_5,2.0826259999994363
M20,Part_A_point_6,2.649214799999754
M20,Part_A_point_7,3.1156022999994093
M20,Part_A_point_8,3.615567299999384
M20,Part_A_point_1,0.011225499999454769
M20,Part_A_point_2,0.34516159999930096
M20,Part_A_point_3,0.7109962999993513
M20,Part_A_point_4,1.5262487999998484
M20,Part_A_point_5,1.8596016999999847
M20,Part_A_point_6,2.392821499999627
M20,Part_A_point_7,2.8929809999999634
M20,Part_A_point_8,3.2924036999993405
M20,Part_A_point_9,3.7439001999991888
M20,Part_A_point_10,4.193141199999445
M20,Part_A_point_11,4.643291399999725
M20,Part_A_point_12,5.992977599999904
M20,Part_A_point_13,6.6082457999991675
M20,Part_A_point_14,7.1263562999993155
M20,Part_A_point_15,7.559271599999192
M20,Part_A_point_16,9.358646699999554
M20,Part_A_point_17,9.641184599999178
M20,Part_A_point_18,10.240640699999858
M20,Part_A_point_19,10.907242999999653
M20,Part_A_point_20,11.373974199999793
M20,Part_A_point_21,11.707053599999199
M20,Part_A_point_22,12.040092499999446
M20,Part_A_point_23,12.706898999999794
M20,Part_A_point_24,13.173349799999414
M20,Part_A_point_25,13.573563999999351
M20,part_A,13.573597299999165
M20,Part_B_point_1,0.01614770000014687
M20,Part_B_point_2,0.6358948999995846
M20,Part_B_point_3,1.1009918999998263
M20,Part_B_point_4,1.9007330999993428
M20,Part_B_point_5,2.3669527000001835
M20,Part_B_point_6,4.281952499999534
M20,Part_B_point_7,4.782126899999639
M20,Part_B_point_8,5.4484481999998025
M20,Part_B_point_1,0.011654299999463547
M20,Part_B_point_2,0.6112014000000272
M20,Part_B_point_3,0.9955021999994642
M20,Part_B_point_4,1.8442890999995143
M20,Part_B_point_5,2.2773072999998476
M20,Part_B_point_6,2.87745779999932
M20,Part_B_point_7,3.728372299999137
M20,Part_B_point_8,4.178206799999316
M20,Part_B_point_9,4.677011899999343
M20,Part_B_point_10,5.376691799999207
M20,Part_B_point_11,5.728093899999294
M20,Part_B_point_12,6.1764905
M20,Part_B_point_13,6.6948712999992495
M20,Part_B_point_14,7.027546899999834
M20,Part_B_point_15,7.4277179999999134
M20,Part_B_point_16,8.027154599999449
M20,Part_B_point_17,8.56258919999982
M20,Part_B_point_18,9.093900899999426
M20,Part_B_point_19,9.708995799999684
M20,Part_B_point_20,10.108916099999988
M20,Part_B_point_21,10.508898699999918
M20,Part_B_point_22,11.159773800000039
M20,Part_B_point_23,12.374987099999998
M20,Part_B_point_24,12.792824899999687
M20,Part_B_point_25,13.12630469999931
M20,Part_B_point_26,13.559530900000027
M20,part_B,13.559564099999989
