PART_ID,Trial part,Complete Time
M20,Part_A_point_1,0.008181000000149652
M20,Part_A_point_2,0.4219141000003219
M20,Part_A_point_3,0.9883079999999609
M20,Part_A_point_4,2.588141600000199
M20,Part_A_point_5,3.756057100000362
M20,Part_A_point_6,4.254428799999914
M20,Part_A_point_7,4.737568100000317
M20,Part_A_point_8,5.437225399999988
M20,Part_A_point_1,0.011129099999379832
M20,Part_A_point_2,0.47794299999986833
M20,Part_A_point_3,0.8442052000000331
M20,Part_A_point_4,1.6108165999994526
M20,Part_A_point_5,1.9109042000000045
M20,Part_A_point_6,2.4276200999993307
M20,Part_A_point_7,2.977202999999463
M20,Part_A_point_8,3.5106663999995362
M20,Part_A_point_9,4.060169399999722
M20,Part_A_point_10,4.510232299999188
M20,Part_A_point_11,4.959964199999376
M20,Part_A_point_12,5.609935899999982
M20,Part_A_point_13,6.0107132999992245
M20,Part_A_point_14,6.359881499999574
M20,Part_A_point_15,6.826264299999821
M20,Part_A_point_16,7.3432450000000244
M20,Part_A_point_17,7.676033599999755
M20,Part_A_point_18,8.209275599999273
M20,Part_A_point_19,8.676525999999285
M20,Part_A_point_20,9.00913809999929
M20,Part_A_point_21,9.275620099999287
M20,Part_A_point_22,9.875623099999757
M20,Part_A_point_23,10.67775249999977
M20,Part_A_point_24,11.208403699999508
M20,Part_A_point_25,11.741605499999423
M20,part_A,11.741641599999639
M20,Part_B_point_1,0.019225999999434862
M20,Part_B_point_2,1.6852979999994204
M20,Part_B_point_3,2.3189025000001493
M20,Part_B_point_4,3.2514860999999655
M20,Part_B_point_5,3.7348717999993823
M20,Part_B_point_6,4.434429500000078
M20,Part_B_point_7,5.000961799999459
M20,Part_B_point_8,5.5008286000002045
M20,Part_B_point_1,0.011431099999754224
M20,Part_B_point_2,0.7448822999995173
M20,Part_B_point_3,1.3277688999996826
M20,Part_B_point_4,2.127465999999913
M20,Part_B_point_5,2.4608048999998573
M20,Part_B_point_6,3.2770463999995627
M20,Part_B_point_7,3.776839399999517
M20,Part_B_point_8,4.227099899999303
M20,Part_B_point_9,4.726812699999755
M20,Part_B_point_10,5.127211699999862
M20,Part_B_point_11,5.476870399999825
M20,Part_B_point_12,5.9430584000001545
M20,Part_B_point_13,6.3431886999997005
M20,Part_B_point_14,7.259581700000126
M20,Part_B_point_15,7.6761063999992984
M20,Part_B_point_16,9.092421999999715
M20,Part_B_point_17,9.559293799999978
M20,Part_B_point_18,10.026783899999828
M20,Part_B_point_19,10.825302100000044
M20,Part_B_point_20,11.425231399999575
M20,Part_B_point_21,11.75848379999934
M20,Part_B_point_22,12.558316699999523
M20,Part_B_point_23,13.091502399999627
M20,Part_B_point_24,13.691354099999444
M20,Part_B_point_25,13.957756299999346
M20,Part_B_point_26,14.507837499999368
M20,part_B,14.50787229999969
